#Environment	Ancestor	Mutation	Marked_genotype	fit	scaledfit
3	2	0	0	1.0594810148	1.0174623209
3	2	0	0	1.0356733847	0.9945988941
3	3	0	0	1.1057885073	1.0007058387
3	3	0	0	1.1033075854	0.9984606779
3	3	0	0	1.1013164149	0.9966587275
3	3	0	0	1.1096216905	1.0041747559
3	4	0	0	1.0731181632	1.0022047103
3	4	0	0	1.0805486472	1.0091441754
3	4	0	0	1.0370861631	0.9685537654
3	4	0	0	1.0922768394	1.0200973489
3	5	0	0	1.1497143512	1.0079371929
3	5	0	0	1.1280249629	0.988922434
3	5	0	0	1.1378909744	0.9975718172
3	5	0	0	1.14701254	1.0055685559
3	6	0	0	1.0415582856	1.0011482343
3	6	0	0	1.0317617004	0.991731734
3	6	0	0	1.0557444885	1.0147840454
3	6	0	0	1.0323903426	0.9923359863
3	7	0	0	0.9334407394	0.999386817
3	7	0	0	0.9329348034	0.9988451374
3	7	0	0	0.9278867334	0.9934404294
3	7	0	0	0.9417915663	1.0083276162
3	10	0	0	1.9016983481	0.8211380692
3	10	0	0	2.4890702045	1.0747605181
3	10	0	0	NaN	NaN
3	10	0	0	2.5570216649	1.1041014128
3	11	0	0	1.1308238417	1.0115838515
3	11	0	0	1.0973175593	0.9816106471
3	11	0	0	1.131727851	1.0123925374
3	11	0	0	1.1116289435	0.994412964
3	8	0	0	0.9838609401	0.9933079699
3	8	0	0	0.9900068712	0.9995129143
3	8	0	0	0.9971691773	1.0067439928
3	8	0	0	0.9909203091	1.000435123
3	9	0	0	2.0884259911	0.9261988433
3	9	0	0	NaN	NaN
3	9	0	0	2.4212449207	1.0738011567
3	9	0	0	NaN	NaN
